Number of lanes, Number of vehicles on the sidelines, Chance of congestion,Chance of weather disruptions,trains?,pointer Harr
1,0,0,0,0,0000000000000000
1,0,0,0,1,0000000000000008
1,0,0,10,0,0000000000000010
1,0,0,10,1,0000000000000018
1,0,0,20,0,0000000000000020
1,0,0,20,1,0000000000000028
1,0,0,30,0,0000000000000030
1,0,0,30,1,0000000000000038
1,0,0,40,0,0000000000000040
1,0,0,40,1,0000000000000048
1,0,0,50,0,0000000000000050
1,0,0,50,1,0000000000000058
1,0,0,60,0,0000000000000060
1,0,0,60,1,0000000000000068
1,0,0,70,0,0000000000000070
1,0,0,70,1,0000000000000078
1,0,0,80,0,0000000000000080
1,0,0,80,1,0000000000000088
1,0,0,90,0,0000000000000090
1,0,0,90,1,0000000000000098
1,0,0,100,0,00000000000000a0
1,0,0,100,1,00000000000000a8
1,0,10,0,0,00000000000000b0
1,0,10,0,1,00000000000000b8
1,0,10,10,0,00000000000000c0
1,0,10,10,1,00000000000000c8
1,0,10,20,0,00000000000000d0
1,0,10,20,1,00000000000000d8
1,0,10,30,0,00000000000000e0
1,0,10,30,1,00000000000000e8
1,0,10,40,0,00000000000000f0
1,0,10,40,1,00000000000000f8
1,0,10,50,0,0000000000000100
1,0,10,50,1,0000000000000108
1,0,10,60,0,0000000000000110
1,0,10,60,1,0000000000000118
1,0,10,70,0,0000000000000120
1,0,10,70,1,0000000000000128
1,0,10,80,0,0000000000000130
1,0,10,80,1,0000000000000138
1,0,10,90,0,0000000000000140
1,0,10,90,1,0000000000000148
1,0,10,100,0,0000000000000150
1,0,10,100,1,0000000000000158
1,0,20,0,0,0000000000000160
1,0,20,0,1,0000000000000168
1,0,20,10,0,0000000000000170
1,0,20,10,1,0000000000000178
1,0,20,20,0,0000000000000180
1,0,20,20,1,0000000000000188
1,0,20,30,0,0000000000000190
1,0,20,30,1,0000000000000198
1,0,20,40,0,00000000000001a0
1,0,20,40,1,00000000000001a8
1,0,20,50,0,00000000000001b0
1,0,20,50,1,00000000000001b8
1,0,20,60,0,00000000000001c0
1,0,20,60,1,00000000000001c8
1,0,20,70,0,00000000000001d0
1,0,20,70,1,00000000000001d8
1,0,20,80,0,00000000000001e0
1,0,20,80,1,00000000000001e8
1,0,20,90,0,00000000000001f0
1,0,20,90,1,00000000000001f8
1,0,20,100,0,0000000000000200
1,0,20,100,1,0000000000000208
1,0,30,0,0,0000000000000210
1,0,30,0,1,0000000000000218
1,0,30,10,0,0000000000000220
1,0,30,10,1,0000000000000228
1,0,30,20,0,0000000000000230
1,0,30,20,1,0000000000000238
1,0,30,30,0,0000000000000240
1,0,30,30,1,0000000000000248
1,0,30,40,0,0000000000000250
1,0,30,40,1,0000000000000258
1,0,30,50,0,0000000000000260
1,0,30,50,1,0000000000000268
1,0,30,60,0,0000000000000270
1,0,30,60,1,0000000000000278
1,0,30,70,0,0000000000000280
1,0,30,70,1,0000000000000288
1,0,30,80,0,0000000000000290
1,0,30,80,1,0000000000000298
1,0,30,90,0,00000000000002a0
1,0,30,90,1,00000000000002a8
1,0,30,100,0,00000000000002b0
1,0,30,100,1,00000000000002b8
1,0,40,0,0,00000000000002c0
1,0,40,0,1,00000000000002c8
1,0,40,10,0,00000000000002d0
1,0,40,10,1,00000000000002d8
1,0,40,20,0,00000000000002e0
1,0,40,20,1,00000000000002e8
1,0,40,30,0,00000000000002f0
1,0,40,30,1,00000000000002f8
1,0,40,40,0,0000000000000300
1,0,40,40,1,0000000000000308
1,0,40,50,0,0000000000000310
1,0,40,50,1,0000000000000318
1,0,40,60,0,0000000000000320
1,0,40,60,1,0000000000000328
1,0,40,70,0,0000000000000330
1,0,40,70,1,0000000000000338
1,0,40,80,0,0000000000000340
1,0,40,80,1,0000000000000348
1,0,40,90,0,0000000000000350
1,0,40,90,1,0000000000000358
1,0,40,100,0,0000000000000360
1,0,40,100,1,0000000000000368
1,0,50,0,0,0000000000000370
1,0,50,0,1,0000000000000378
1,0,50,10,0,0000000000000380
1,0,50,10,1,0000000000000388
1,0,50,20,0,0000000000000390
1,0,50,20,1,0000000000000398
1,0,50,30,0,00000000000003a0
1,0,50,30,1,00000000000003a8
1,0,50,40,0,00000000000003b0
1,0,50,40,1,00000000000003b8
1,0,50,50,0,00000000000003c0
1,0,50,50,1,00000000000003c8
1,0,50,60,0,00000000000003d0
1,0,50,60,1,00000000000003d8
1,0,50,70,0,00000000000003e0
