id, road number, incoming node, outgoing node, Longitude,Latitude,num_road_section, Multiple lanes, margin width, Chance of congestion, Chance of flooding, Entrance to railway tracks,flag
1, 1, 1,2,890.000000,220.000000,1,2,0.000000,10.000000,1.000000,0,0 
40, 2, 2,0,950.000000,450.000000,1,3,1.000000,20.000000,5.000000,0,0 
2, 2, 0,3,960.000000,800.000000,2,2,0.000000,30.000000,0.000000,0,0 
3, 3, 1,0,700.000000,350.000000,1,2,0.000000,7.000000,7.000000,0,0 
4, 3, 0,0,690.000000,550.000000,2,2,0.000000,5.000000,2.000000,0,0 
5, 3, 0,4,690.000000,600.000000,3,2,1.000000,10.000000,0.000000,0,0 
12, 4, 1,0,690.000000,200.000000,1,3,22.000000,0.000000,0.000000,0,0 
13, 4, 0,0,520.000000,190.000000,2,3,2.000000,30.000000,12.000000,0,0 
14, 4, 0,5,350.000000,150.000000,3,3,2.000000,35.000000,10.000000,0,0 
4, 5, 5,0,250.000000,200.000000,1,3,2.000000,35.000000,10.000000,0,0 
42, 5, 0,0,500.000000,200.000000,2,3,2.000000,30.000000,12.000000,0,0 
41, 5, 0,1,700.000000,200.000000,3,3,2.000000,20.000000,0.000000,0,0 
45, 6, 3,0,1000.000000,900.000000,1,1,0.000000,5.000000,2.000000,0,0 
44, 6, 0,2,950.000000,720.000000,2,1,0.000000,5.000000,2.000000,0,0 
46, 7, 6,7,200.000000,800.000000,1,1,1.000000,2.000000,0.000000,0,0 
15, 19, 7,6,210.000000,850.000000,1,1,1.000000,2.000000,0.000000,0,0 
21, 8, 4,0,650.000000,820.000000,1,3,2.000000,0.000000,0.000000,0,0 
20, 8, 0,9,590.000000,1000.000000,2,3,1.000000,0.000000,0.000000,0,0 
22, 9, 3,0,750.000000,910.000000,1,1,0.000000,20.000000,30.000000,0,0 
23, 9, 0,0,690.000000,1100.000000,2,1,1.000000,20.000000,30.000000,0,0 
24, 9, 0,9,620.000000,1150.000000,3,2,0.000000,20.000000,30.000000,0,0 
49, 10, 9,0,620.000000,1150.000000,1,1,0.000000,20.000000,30.000000,0,0 
48, 10, 0,0,690.000000,1100.000000,2,0,0.000000,20.000000,30.000000,0,0 
47, 10, 0,3,890.000000,1050.000000,3,1,0.000000,20.000000,25.000000,0,0 
50, 12, 9,0,600.000000,1250.000000,1,2,1.000000,4.000000,1.000000,0,0 
51, 12, 0,8,350.000000,1250.000000,2,2,0.000000,4.000000,1.000000,0,0 
18, 11, 8,0,350.000000,1250.000000,1,2,1.000000,4.000000,1.000000,0,0 
19, 11, 0,9,500.000000,1250.000000,2,1,1.000000,4.000000,1.000000,0,0 
17, 13, 8,0,300.000000,1100.000000,1,2,0.000000,5.000000,0.000000,0,0 
16, 13, 0,7,300.000000,1000.000000,2,2,1.000000,5.000000,0.000000,0,0 
52, 14, 7,0,290.000000,1050.000000,1,1,1.000000,15.000000,10.000000,0,0 
53, 14, 0,8,290.000000,1100.000000,2,1,0.000000,15.000000,10.000000,0,0 
6, 16, 1,0,650.000000,400.000000,1,3,1.000000,30.000000,10.000000,0,0 
7, 16, 0,0,550.000000,450.000000,2,3,0.000000,30.000000,10.000000,0,0 
8, 16, 0,0,400.000000,550.000000,3,3,2.000000,20.000000,10.000000,0,0 
9, 16, 0,0,350.000000,500.000000,4,4,1.000000,20.000000,5.000000,0,0 
10, 16, 0,0,290.000000,600.000000,5,4,2.000000,10.000000,7.000000,0,0 
11, 16, 0,6,150.000000,590.000000,6,4,1.000000,40.000000,5.000000,0,0 
59, 15, 6,0,200.000000,600.000000,1,3,2.000000,40.000000,10.000000,0,0 
58, 15, 0,0,250.000000,580.000000,2,3,1.000000,40.000000,10.000000,0,0 
57, 15, 0,0,350.000000,520.000000,3,3,2.000000,20.000000,3.000000,0,0 
56, 15, 0,0,420.000000,490.000000,4,2,1.000000,30.000000,6.000000,0,0 
55, 15, 0,0,550.000000,410.000000,5,2,1.000000,30.000000,7.000000,0,0 
54, 15, 0,1,610.000000,390.000000,6,2,1.000000,40.000000,10.000000,0,0 
60, 19, 2,1,900.000000,300.000000,1,4,2.000000,10.000000,4.000000,0,0 
